project,symbol,chain,apy,tvlUsd
lista-lending,USDT,Ethereum,5.65044,5993041
aerodrome-v1,MSUSD-USDC,Base,5.63608,8127294
cap,STCUSD,Ethereum,5.61632,95811728
upshift,EARNAUSD,Monad,5.59694,32629036
morpho-blue,AUSDC,Ethereum,5.58996,2132714
morpho-blue,MWUSDC,Base,5.56712,10078003
curve-dex,MSUSD-FRAXBP,Ethereum,5.54298,6109325
pendle,STCUSD,Ethereum,5.5336,3962588
curve-dex,APYUSD-APXUSD,Ethereum,5.51,14901294
morpho-blue,BBQUSDC,Base,5.50856,25082464
morpho-blue,GTUSDCP,OP Mainnet,5.4913,4922132
liqwid,USDM,Cardano,5.47346,1428082
morpho-blue,GTUSDCC,Hyperliquid L1,5.47127,1703016
morpho-blue,FEUSDT0,Hyperliquid L1,5.46773,9477067
curve-dex,USDC-RLUSD,Ethereum,5.45785,83616119
morpho-blue,HYPERUSDCA,Ethereum,5.38916,3441385
hyperlend-pooled,USDC,Hyperliquid L1,5.38307,11641676
kamino-lend,USDC,Solana,5.37218,6969162
morpho-blue,FEUSDC,Hyperliquid L1,5.3564,15635155
pendle,SRNUSD,Ethereum,5.34218,1780585
moonwell-lending,USDC,Base,5.3406,1532749
stake-dao,FRXUSD-CRVUSD,Ethereum,5.33559,7471293
zerobase-cedefi,USDT,OP Mainnet,5.3,8091733
jupiter-lend,JUPUSD,Solana,5.29893,95178441
stake-dao,USDC-CRVUSD,Ethereum,5.22837,6378570
scallop-lend,USDC,Sui,5.225,1230482
morpho-blue,SENRLUSDV2,Ethereum,5.21882,207525023
stake-dao,USDT-CRVUSD,Ethereum,5.21667,12237304
pendle,SUSDE,Plasma,5.20574,7987646
uniswap-v4,USDE-USDT,Ethereum,5.19599,3858039
infinifi,SIUSD,Ethereum,5.19203,49248658
convex-finance,SCRVUSD-SUSDS,Ethereum,5.16209,1200523
curve-dex,USDS-STUSDS,Ethereum,5.12977,7120624
yearn-finance,VBUSDC,Katana,5.10731,15504307
ember-protocol,USDC,Sui,5.10438,1132418
yearn-finance,DOLA-SUSDE,Ethereum,5.10035,5191459
beefy,RLUSD-USDC,Ethereum,5.09867,3829978
curve-dex,ALUSD-FRXUSD,Ethereum,5.09766,4245726
kamino-lend,USDG,Solana,5.0959,3434055
shadow-exchange-legacy,EVAUSDT-EVAUSDC,Sonic,5.07008,1707830
superstate-uscc,USCC,Ethereum,5.06094,146667217
superstate-uscc,USCC,Solana,5.06094,37074989
superstate-uscc,USCC,Plume Mainnet,5.06094,16375183
morpho-blue,GTUSDTF,Ethereum,5.04065,13655950
morpho-blue,SENPYUSDMAIN,Ethereum,5.03718,271310990
morpho-blue,BBQUSDT0,Monad,5.00793,1797244
pendle,SRUSDE,Ethereum,4.9953,11230701
morpho-blue,STEAKUSDT,Ethereum,4.97949,117224027
morpho-blue,BBQUSDC,Base,4.96675,3741210
